STATE,YEAR,LEVEL
Alabama,2022,4.2115
Alabama,2021,2.2692
Alabama,2020,1.2115
Alabama,2019,5.2692
Alabama,2018,4.3846
Alabama,2017,3.8269
Alabama,2016,3.7115
Alaska,2022,1.4615
Alaska,2021,1.2308
Alaska,2020,0.9623
Alaska,2019,2.6154
Alaska,2018,2.8846
Alaska,2017,4.2115
Alaska,2016,2.8462
Arizona,2022,2.2308
Arizona,2021,1.5769
Arizona,2020,1.0755
Arizona,2019,3.4038
Arizona,2018,3.2308
Arizona,2017,4.6731
Arizona,2016,2.8846
Arkansas,2022,3.8077
Arkansas,2021,2.9423
Arkansas,2020,1.3962
Arkansas,2019,4.4231
Arkansas,2018,3.3077
Arkansas,2017,3.4423
Arkansas,2016,2.8269
California,2022,5.8654
California,2021,2.0577
California,2020,1.3774
California,2019,3.6538
California,2018,2.6731
California,2017,3.4038
California,2016,2.3077
Colorado,2022,4.3462
Colorado,2021,2.9038
Colorado,2020,1.0377
Colorado,2019,4.8269
Colorado,2018,4.6154
Colorado,2017,2.9038
Colorado,2016,2.4423
Commonwealth of the Northern Mariana Islands,2022,2.0385
Commonwealth of the Northern Mariana Islands,2021,1.7255
Commonwealth of the Northern Mariana Islands,2020,1.1887
Commonwealth of the Northern Mariana Islands,2019,1.3409
Connecticut,2022,3.9038
Connecticut,2021,2.4615
Connecticut,2020,1.0755
Connecticut,2019,5.3846
Connecticut,2018,2.8462
Connecticut,2017,2.6154
Connecticut,2016,1.5962
Delaware,2022,1.9615
Delaware,2021,1.9038
Delaware,2020,1.0755
Delaware,2019,2.0192
Delaware,2018,1.2885
Delaware,2017,1.75
Delaware,2016,1
District of Columbia,2022,8.4423
District of Columbia,2021,4.3269
District of Columbia,2020,1.5283
District of Columbia,2019,4.1538
District of Columbia,2018,2.4615
District of Columbia,2017,2.8654
District of Columbia,2016,0
Florida,2022,4.7885
Florida,2021,4.75
Florida,2020,1.9811
Florida,2019,4.3462
Florida,2018,1.9423
Florida,2017,2.2885
Florida,2016,1.8654
Georgia,2022,4.6538
Georgia,2021,4.1346
Georgia,2020,2.5094
Georgia,2019,5.9423
Georgia,2018,4.75
Georgia,2017,4.5577
Georgia,2016,4.6154
Hawaii,2022,3.25
Hawaii,2021,1.4615
Hawaii,2020,1
Hawaii,2019,2.3654
Hawaii,2018,1.9615
Hawaii,2017,2.5769
Hawaii,2016,1.7308
Idaho,2022,2.7115
Idaho,2021,2.8654
Idaho,2020,1.8302
Idaho,2019,3.0577
Idaho,2018,1.6923
Idaho,2017,1.4423
Idaho,2016,1.1538
Illinois,2022,3.4423
Illinois,2021,2.4038
Illinois,2020,1
Illinois,2019,4.7115
Illinois,2018,2.5769
Illinois,2017,3.1923
Illinois,2016,2.7115
Indiana,2022,3.7692
Indiana,2021,2.5192
Indiana,2020,1.6604
Indiana,2019,3.2308
Indiana,2018,3.3462
Indiana,2017,3.4808
Indiana,2016,2.6923
Iowa,2022,2.4038
Iowa,2021,2.6923
Iowa,2020,1.8113
Iowa,2019,4.1154
Iowa,2018,2.3462
Iowa,2017,2
Iowa,2016,1.5
Kansas,2022,2.8269
Kansas,2021,2.8269
Kansas,2020,1.6226
Kansas,2019,4.75
Kansas,2018,3.0769
Kansas,2017,3.5385
Kansas,2016,3
Kentucky,2022,4.1923
Kentucky,2021,3.5192
Kentucky,2020,1.6792
Kentucky,2019,4.6731
Kentucky,2018,3.6154
Kentucky,2017,4.0962
Kentucky,2016,3.5962
Louisiana,2022,3.8269
Louisiana,2021,2.2308
Louisiana,2020,1
Louisiana,2019,7.5577
Louisiana,2018,5.4808
Louisiana,2017,4.4423
Louisiana,2016,3.4038
Maine,2022,2.8077
Maine,2021,1.9231
Maine,2020,1.0189
Maine,2019,3.3846
Maine,2018,2.3846
